A Dalit boy in UP, hands folded, begging for mercy, as an upper-caste mob pours acid on him for touching a temple wall.
A Muslim meat vendor in Ayodhya, lying in a pool of blood, his stall looted, as saffron-clad men chant victory slogans.
A woman in a Lucknow police station, crying for justice, while officers laugh and sip chai, scrolling past her complaint.
A man in Kanpur, dragged by his shirt collar through a crowded street, beaten for refusing to chant religious slogans.
A Dalit bride in Varanasi, terrified on her wedding day, as upper-caste men throw stones at her wedding procession.
A teenager in Prayagraj, hanging from a tree, his schoolbag torn, a note beside him blaming caste humiliation.
A journalist in Noida, slumped over his laptop, blood pooling beneath his chair after exposing a politician’s scam.
A father in Agra, staring at the police, holding his daughter’s charred anklet, her body missing after a "love jihad" accusation.
A farmer in Gorakhpur, covered in bruises, thrown in jail for asking why his land was given to a temple trust.
A woman in Meerut, force-fed poison by her in-laws for giving birth to a girl, as her baby wails beside her.
A Muslim cab driver in Delhi, blood dripping from his forehead, forced to chant slogans at gunpoint.
A student in JNU, collapsed on the campus floor, glasses broken, as masked goons with iron rods pose for a photo.
A Sikh man in Trilokpuri, hands tied, beard yanked, as rioters torch his home during an election rally.
A journalist in Connaught Place, microphone shattered, police lathis raining down on him for covering a protest.
A college girl in Hauz Khas, drinks spiked at a politician’s party, her unconscious body carried into a black SUV.
A Dalit sanitation worker in Old Delhi, suffocated inside a manhole, as his coworkers watch helplessly, afraid to speak up.
A transgender woman in Paharganj, lying on the sidewalk, face swollen, as men walk past laughing at her bruises.
A university professor in North Campus, suspended for writing about caste, his books burned outside the faculty building.
A beggar in Chandni Chowk, beaten for sitting near a temple entrance, his bowl kicked away by a devotee.
A Hindu-Muslim couple in South Delhi, running down an alleyway, chased by a mob wielding bricks.
A Jat landlord in Rohtak, laughing as his farmhands—tied to poles—are whipped for asking for their wages.
A Dalit student in Hisar, dragged out of the exam hall, beaten for daring to score higher than upper-caste classmates.
A woman in Gurgaon, strangled with her own dupatta, her husband walking away, proud of his "honor killing."
A migrant worker in Faridabad, hands tied with rope, beaten by factory owners for demanding a salary.
A journalist in Panchkula, found dead in his car, his last article exposing land grabs by political families.
A teenager in Sonipat, thrown off a rooftop by her own family for eloping with a boy from another caste.
A government school in Jhajjar, where Dalit children sit on the floor, denied desks, as upper-caste kids drink from separate water coolers.
A rape survivor in Ambala, standing outside a courtroom, the accused politician’s supporters spitting at her.
A butcher shop in Kaithal, shattered glass and bloodstains, after a mob accused the owner of selling beef.
A Sikh farmer in Karnal, sobbing over his destroyed crops, his land forcefully taken for an industrial project.
A Dalit farm laborer in Ludhiana, legs broken, thrown in a ditch for asking for fair wages.
A teenage girl in Amritsar, poisoned by her family, her only crime—falling in love with a lower-caste boy.
A journalist in Jalandhar, shot dead in his office, his investigation into drug cartels unfinished.
A farmer in Bathinda, hanging from a tree, his suicide note blaming rising debts and government betrayal.
A Christian pastor in Patiala, kneeling before an armed mob, as they burn his prayer books one by one.
A mother in Mohali, clutching a framed photo of her son, disappeared after being picked up by the police.
A Dalit boy in Tarn Taran, pushed into a well by his classmates for drinking from the “wrong” tap.
A young woman in Hoshiarpur, drowned in a canal by her own family, punished for rejecting an arranged marriage.
A protest site in Mansa, filled with tear gas, elderly farmers coughing as police break their tents.
A teenage boy in Gurdaspur, bleeding on the street, shot by drug mafia enforcers for refusing to smuggle heroin.
A Dalit man in Jodhpur, tied to a jeep, dragged through the desert for entering an upper-caste wedding.
A Muslim shopkeeper in Jaipur, his storefront on fire, as police stand idly by, watching the flames rise.
A widow in Udaipur, burned alive by her in-laws, her screams drowned out by wedding drums next door.
A shepherd in Bikaner, throat slit for accidentally letting his goats graze on upper-caste land.
A temple in Ajmer, where a man is beaten with sticks for touching the deity's statue.
A Dalit groom in Alwar, forced to get off his horse at gunpoint, his baraat humiliated in front of the village.
A teenage girl in Kota, locked in a dark room, her parents starving her for wanting an education.
A woman in Chittorgarh, burnt alive over a dowry dispute, the in-laws calling it an “accident.”
A mob in Bharatpur, wielding swords, chasing an interfaith couple through the narrow streets.
A journalist in Nagaur, found dead in a well, his articles about illegal sand mining deleted from news portals.
A Dalit woman in Gaya, paraded naked through the village, as upper-caste men laugh and record videos on their phones.
A journalist in Patna, lying face-down in an alley, bullet wound in his temple, his article on local corruption left unfinished.
A landless farmer in Muzaffarpur, shot in front of his family for refusing to vacate his hut on feudal land.
A girl in Begusarai, dragged from her school, forced into a child marriage, her bangles shattering as she resists.
A boy in Bhagalpur, hands chopped off for daring to pluck fruit from an upper-caste tree.
A Dalit laborer in Darbhanga, crushed under a tractor, his employer grinning as he watches his fields turn red.
A Muslim family in Sitamarhi, their home torched, as slogans blare from loudspeakers demanding they “go to Pakistan.”
A woman in Nawada, sobbing outside a police station, her husband missing after he spoke against a local politician.
A teenage girl in Arrah, forced into a car by armed men, her screams drowned by loudspeakers at a political rally.
A villager in Saharsa, bloodied and bruised, left to rot in jail for exposing a caste-based crime.
A tribal woman in Ranchi, her arms tied to a pole, beaten for refusing to convert her land into a mining project.
A journalist in Jamshedpur, thrown off a building for reporting illegal coal mafia operations.
A young girl in Dhanbad, sobbing in a dark room, trafficked to a brothel under the guise of a job offer.
A man in Giridih, dragged through the streets, lynched on suspicion of eating beef, his body left hanging from a tree.
A Dalit boy in Bokaro, stripped and paraded in his village, accused of stealing from an upper-caste landlord.
A widow in Hazaribagh, wailing over her husband's body, murdered for organizing a workers' strike.
A girl in Dumka, set on fire by a stalker, her charred remains ignored by the authorities.
A family in Palamu, evicted from their home, watching bulldozers destroy everything they own, police smirking nearby.
A group of Adivasi protestors in Chaibasa, chased by armed men, bullets raining down as they defend their sacred land.
A man in Latehar, tied to a truck, dragged for miles for refusing to pay a local political gang's extortion fee.
A woman in Dehradun, strangled by her in-laws, her dowry set ablaze in the same fire as her funeral pyre.
A Muslim boy in Haridwar, kneeling in fear, as religious extremists force him to chant slogans at a crowded ghat.
A journalist in Rishikesh, pushed off a bridge after uncovering a government scam in pilgrimage funds.
A Dalit priest in Almora, lying unconscious outside his own temple, his forehead smeared with his own blood.
A woman in Nainital, crying out for help, as forest officers turn a blind eye to her assault by powerful resort developers.
A college student in Haldwani, covered in bruises, thrown out of a bar for "polluting" the upper-caste crowd.
A farmer in Chamoli, weeping over his dead cattle, poisoned by corporate firms forcing him to sell his land.
A teenage girl in Mussoorie, locked inside a wealthy politician’s mansion, her identity erased from missing persons' records.
A Dalit child in Rudrapur, kicked out of a school midday, watching from a distance as her classmates eat lunch.
A journalist in Pauri, last seen entering a police station after publishing an article on political corruption, never seen again.
A Dalit man in Shimla, denied entry into a temple, his face slapped each time he tries to step inside.
A farmer in Mandi, weeping as his apple orchard burns, after refusing to sell his land to a corrupt real estate developer.
A tourist guide in Manali, beaten unconscious by goons for refusing to overcharge foreign visitors at a politician’s demand.
A hotel worker in Kullu, found dead in a valley, last seen arguing with the owner about his withheld salary.
A woman in Dharamshala, bruised and crying, after being accused of witchcraft by local villagers.
A Dalit laborer in Solan, chained inside a factory, forced to work without pay for months.
A child in Bilaspur, struggling to breathe as illegal construction dust fills the air, his town sacrificed for luxury hotels.
A government officer in Kinnaur, thrown into a deep gorge after resisting bribes from the timber mafia.
A teenager in Chamba, rejected from a private school, watching upper-caste children enter through gilded gates.
A small-town activist in Una, lying lifeless on a railway track, his fight against illegal land grabbing silenced forever.
A Dalit professor in a prestigious university, found hanging in his hostel, his resignation letter exposing years of caste discrimination.
A whistleblower in a government office, mysteriously poisoned after leaking evidence of embezzled relief funds.
A Muslim vendor in a railway station, thrown off a moving train after refusing to chant nationalist slogans.
A teenage girl in an elite Delhi school, humiliated by teachers for using scholarship money meant for “real merit students.”
A police officer in a UP village, standing over a Dalit man’s corpse, casually smoking a cigarette.
A mother in Bihar, clutching a missing poster of her daughter, abducted and trafficked to a politician’s guesthouse.
A judge in Haryana, resigning in fear, after being threatened for refusing to grant bail to an upper-caste rapist.
A child bride in Rajasthan, hidden behind a thick veil, her tiny hands trembling as she’s pushed into the wedding mandap.
A tribal activist in Jharkhand, locked in jail without trial, her protests against mining companies erased from the news.
A mob in Delhi, wielding rods and knives, marching through narrow streets, chanting religious slogans, their faces filled with rage.
In a village in Gaya, a Dalit man is tied to a tree, his face swollen from beatings, as a group of men laugh and take photos on their phones.
A journalist in Patna slumps over his desk, a bullet wound in his head, while his laptop screen still shows his unfinished report on political corruption.
A mother in Muzaffarpur cries outside a police station, holding her injured daughter, while officers sip tea and refuse to file a report.
A Muslim man in Sitamarhi kneels on the ground in a crowded market, fear in his eyes, as a group forces him to chant religious slogans.
A Dalit farmer in Darbhanga watches helplessly as his small house burns, while men from the upper caste stand nearby, smirking.
A tribal woman in Ranchi, tied with ropes, sits on the ground, accused of witchcraft by villagers who wave burning torches.
A teenage girl in Dhanbad sits in a dark brothel room, her wrists bruised, as a madam tells her, ‘No one is coming to save you.’
